Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall
1874-01-01, 50, 29, 39.5, 0.01, M
1874-01-02, 60, 48, 54.0, 0.07, M
1874-01-03, 67, 42, 54.5, 0.00, M
1874-01-04, 70, 49, 59.5, 0.00, M
1874-01-05, 68, 42, 55.0, 0.12, M
1874-01-06, 61, 42, 51.5, 0.15, M
1874-01-07, 65, 52, 58.5, 0.98, M
1874-01-08, 55, 40, 47.5, 0.00, M
1874-01-09, 55, 34, 44.5, 0.00, M
1874-01-10, 56, 40, 48.0, 0.00, M
1874-01-11, 56, 40, 48.0, 0.00, M
1874-01-12, 44, 34, 39.0, 0.00, M
1874-01-13, 42, 36, 39.0, 0.28, M
1874-01-14, 43, 32, 37.5, 0.20, M
1874-01-15, 28, 22, 25.0, 0.00, M
1874-01-16, 26, 15, 20.5, 0.00, M
1874-01-17, 30, 20, 25.0, 0.00, M
1874-01-18, 48, 28, 38.0, 0.00, M
1874-01-19, 51, 38, 44.5, 0.00, M
1874-01-20, 51, 34, 42.5, 0.00, M
1874-01-21, 53, 42, 47.5, 0.00, M
1874-01-22, 70, 46, 58.0, 0.02, M
1874-01-23, 73, 48, 60.5, 0.00, M
1874-01-24, 51, 37, 44.0, 0.00, M
1874-01-25, 34, 26, 30.0, 0.00, M
1874-01-26, 38, 23, 30.5, 0.00, M
1874-01-27, 50, 32, 41.0, 0.01, M
1874-01-28, 60, 32, 46.0, 0.25, M
1874-01-29, 52, 36, 44.0, 0.00, M
1874-01-30, 55, 34, 44.5, 0.00, M
1874-01-31, 60, 40, 50.0, 0.00, M
1874-02-01, 43, 32, 37.5, 0.00, M
1874-02-02, 44, 32, 38.0, 1.16, M
1874-02-03, 39, 32, 35.5, 0.81, M
1874-02-04, 41, 31, 36.0, 0.00, M
1874-02-05, 38, 29, 33.5, 0.00, M
1874-02-06, 45, 33, 39.0, 0.36, M
1874-02-07, 45, 30, 37.5, 0.07, M
1874-02-08, 34, 29, 31.5, 0.00, M
1874-02-09, 34, 31, 32.5, 0.30, M
1874-02-10, 41, 29, 35.0, 0.00, M
1874-02-11, 51, 35, 43.0, 0.00, M
1874-02-12, 59, 35, 47.0, 0.00, M
1874-02-13, 65, 46, 55.5, 0.01, M
1874-02-14, 62, 43, 52.5, 0.19, M
1874-02-15, 47, 40, 43.5, 0.00, M
1874-02-16, 64, 40, 52.0, 0.00, M
1874-02-17, 47, 36, 41.5, 0.00, M
1874-02-18, 38, 30, 34.0, 0.00, M
1874-02-19, 54, 34, 44.0, 0.02, M
1874-02-20, 64, 42, 53.0, 0.00, M
1874-02-21, 73, 46, 59.5, 0.00, M
1874-02-22, 75, 54, 64.5, 0.00, M
1874-02-23, 77, 62, 69.5, 0.07, M
1874-02-24, 70, 34, 52.0, 0.09, M
1874-02-25, 40, 33, 36.5, 1.71, M
