date,pcpn|sum,maxt,mint,avgt
01-01, 0.10, 49, 33, 41
01-02, 0.20, 49, 33, 41
01-03, 0.30, 48, 33, 41
01-04, 0.41, 48, 33, 41
01-05, 0.52, 48, 33, 41
01-06, 0.64, 48, 33, 41
01-07, 0.75, 48, 33, 40
01-08, 0.86, 48, 33, 40
01-09, 0.97, 48, 33, 40
01-10, 1.08, 48, 33, 40
01-11, 1.20, 48, 33, 40
01-12, 1.31, 48, 33, 40
01-13, 1.42, 48, 33, 40
01-14, 1.53, 48, 33, 40
01-15, 1.65, 48, 33, 40
01-16, 1.76, 48, 33, 40
01-17, 1.87, 48, 33, 40
01-18, 1.98, 48, 33, 40
01-19, 2.08, 48, 33, 40
01-20, 2.19, 48, 33, 40
01-21, 2.30, 48, 33, 40
01-22, 2.41, 48, 33, 40
01-23, 2.52, 48, 33, 40
01-24, 2.63, 48, 33, 40
01-25, 2.73, 48, 33, 40
01-26, 2.84, 48, 33, 40
01-27, 2.95, 48, 33, 41
01-28, 3.06, 48, 33, 41
01-29, 3.17, 49, 33, 41
01-30, 3.28, 49, 33, 41
01-31, 3.40, 49, 33, 41
02-01, 3.51, 49, 33, 41
02-02, 3.62, 49, 33, 41
02-03, 3.73, 49, 33, 41
02-04, 3.85, 49, 33, 41
02-05, 3.96, 49, 33, 41
02-06, 4.06, 49, 33, 41
02-07, 4.17, 50, 33, 42
02-08, 4.28, 50, 34, 42
02-09, 4.38, 50, 34, 42
02-10, 4.49, 50, 34, 42
02-11, 4.60, 50, 34, 42
02-12, 4.70, 50, 34, 42
02-13, 4.81, 51, 34, 42
02-14, 4.92, 51, 34, 42
02-15, 5.03, 51, 34, 43
02-16, 5.14, 51, 34, 43
02-17, 5.26, 51, 35, 43
02-18, 5.38, 51, 35, 43
02-19, 5.49, 52, 35, 43
02-20, 5.60, 52, 35, 43
02-21, 5.72, 52, 35, 44
02-22, 5.83, 52, 35, 44
02-23, 5.95, 52, 36, 44
02-24, 6.07, 53, 36, 44
02-25, 6.18, 53, 36, 44
02-26, 6.29, 53, 36, 45
02-27, 6.41, 53, 36, 45
02-28, 6.52, 54, 37, 45
03-01, 6.64, 54, 37, 45
03-02, 6.76, 54, 37, 46
03-03, 6.87, 54, 37, 46
03-04, 6.99, 55, 37, 46
03-05, 7.10, 55, 38, 46
03-06, 7.22, 55, 38, 47
03-07, 7.34, 55, 38, 47
03-08, 7.46, 56, 38, 47
03-09, 7.58, 56, 39, 47
03-10, 7.70, 56, 39, 48
03-11, 7.82, 57, 39, 48
03-12, 7.94, 57, 39, 48
03-13, 8.06, 57, 40, 48
03-14, 8.18, 58, 40, 49
03-15, 8.31, 58, 40, 49
03-16, 8.43, 58, 40, 49
03-17, 8.55, 58, 41, 50
03-18, 8.67, 59, 41, 50
03-19, 8.78, 59, 41, 50
03-20, 8.90, 59, 42, 50
03-21, 9.01, 60, 42, 51
03-22, 9.13, 60, 42, 51
03-23, 9.24, 60, 42, 51
03-24, 9.36, 61, 43, 52
03-25, 9.48, 61, 43, 52
03-26, 9.61, 61, 43, 52
03-27, 9.73, 62, 43, 53
03-28, 9.85, 62, 44, 53
03-29, 9.97, 62, 44, 53
03-30, 10.09, 63, 44, 53
03-31, 10.20, 63, 45, 54
04-01, 10.31, 63, 45, 54
04-02, 10.43, 64, 45, 54
04-03, 10.54, 64, 45, 55
04-04, 10.65, 64, 46, 55
04-05, 10.75, 65, 46, 55
04-06, 10.87, 65, 46, 56
04-07, 10.98, 65, 47, 56
04-08, 11.10, 66, 47, 56
04-09, 11.21, 66, 47, 56
